Fecha,Municipio,Barrio,Zona,Clase de sitio,Arma empleada,Móvil Agresor,Móvil Victima,Edad,Sexo,Estado civil,País de nacimiento,Clase de empleado,Cantidad
05/22/2016 12:00:00 AM,OCAÑA,BARRIO CRISTO REY,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,27,FEMENINO,SOLTERO,COLOMBIA,AMA DE CASA,1
05/22/2016 12:00:00 AM,VILLA DEL ROSARIO,BARRIO PIE DE CUESTA,URBANA,DENTRO DE LA VIVIENDA,CONTUNDENTES,A PIE,A PIE,25,FEMENINO,UNION LIBRE,COLOMBIA,AMA DE CASA,1
05/23/2016 12:00:00 AM,CÚCUTA (CT),BARRIO CAMILO DAZA,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,-,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,1
05/23/2016 12:00:00 AM,CÚCUTA (CT),INVASION CARACOLES,URBANA,DENTRO DE LA VIVIENDA,-,A PIE,A PIE,45,FEMENINO,SOLTERO,COLOMBIA,AMA DE CASA,1
05/23/2016 12:00:00 AM,LOS PATIOS,BARRIO TIERRA LINDA,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,35,MASCULINO,SOLTERO,COLOMBIA,COMERCIANTE,1
05/23/2016 12:00:00 AM,OCAÑA,BARRIO SIMON BOLIVAR,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,26,FEMENINO,SOLTERO,COLOMBIA,AMA DE CASA,1
05/23/2016 12:00:00 AM,OCAÑA,BARRIO TORCOROMA,URBANA,CASAS DE HABITACION,CONTUNDENTES,A PIE,A PIE,41,FEMENINO,UNION LIBRE,COLOMBIA,AMA DE CASA,1
05/24/2016 12:00:00 AM,CÚCUTA (CT),BARRIO CAMILO DAZA,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,14,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,2
05/24/2016 12:00:00 AM,CÚCUTA (CT),BARRIO CAMILO DAZA,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,15,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,1
05/24/2016 12:00:00 AM,CÚCUTA (CT),BARRIO NUEVO BELEN,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,23,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,1
05/24/2016 12:00:00 AM,CÚCUTA (CT),BARRIO CAMILO DAZA,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,37,FEMENINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,1
05/24/2016 12:00:00 AM,CÚCUTA (CT),BARRIO CAMILO DAZA,URBANA,VIAS PUBLICAS,ESCOPOLAMINA,A PIE,A PIE,30,FEMENINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,1
05/24/2016 12:00:00 AM,CÚCUTA (CT),BARRIO TOLEDO PLATA,URBANA,DENTRO DE LA VIVIENDA,CONTUNDENTES,A PIE,A PIE,34,FEMENINO,UNION LIBRE,COLOMBIA,COMERCIANTE,1
05/24/2016 12:00:00 AM,OCAÑA,BARRIO BUENOS AIRES,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,25,MASCULINO,UNION LIBRE,COLOMBIA,AMA DE CASA,1
05/25/2016 12:00:00 AM,CÚCUTA (CT),BARRIO CAMILO DAZA,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,-,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,1
05/25/2016 12:00:00 AM,CÚCUTA (CT),BARRIO CAMILO DAZA,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,-,MASCULINO,SOLTERO,-,EMPLEADO PARTICULAR,1
05/25/2016 12:00:00 AM,CÚCUTA (CT),BARRIO CAMILO DAZA,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,25,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,1
05/25/2016 12:00:00 AM,CÚCUTA (CT),BARRIO CAMILO DAZA,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,-,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,1
05/25/2016 12:00:00 AM,CÚCUTA (CT),BARRIO CAMILO DAZA,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,-,MASCULINO,SOLTERO,-,EMPLEADO PARTICULAR,1
05/25/2016 12:00:00 AM,CÚCUTA (CT),BARRIO CAMILO DAZA,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,-,FEMENINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,1
05/25/2016 12:00:00 AM,OCAÑA,BARRIO LA ESPERANZA,URBANA,CASAS DE HABITACION,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,42,MASCULINO,CASADO,COLOMBIA,INDEPENDIENTE,1
05/26/2016 12:00:00 AM,CÚCUTA (CT),BARRIO CAMILO DAZA,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,-,MASCULINO,SOLTERO,-,EMPLEADO PARTICULAR,1
05/26/2016 12:00:00 AM,CÚCUTA (CT),BARRIO CUBEROS NIÑO,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,24,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,1
05/26/2016 12:00:00 AM,OCAÑA,BARRIO EL BOSQUE,URBANA,CASAS DE HABITACION,CONTUNDENTES,A PIE,A PIE,59,FEMENINO,UNION LIBRE,COLOMBIA,DESEMPLEADO,1
05/26/2016 12:00:00 AM,VILLA DEL ROSARIO,NAVARRO WOLF,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,24,FEMENINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,1
05/27/2016 12:00:00 AM,CÚCUTA (CT),BARRIO CAMILO DAZA,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,-,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,4
05/27/2016 12:00:00 AM,CÚCUTA (CT),BARRIO GERONIMO URIBE,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,25,FEMENINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,1
05/27/2016 12:00:00 AM,EL ZULIA,VEREDA EL MESTIZO,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,52,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,1
05/27/2016 12:00:00 AM,LOS PATIOS,BARRIO BRISAS DEL LLANO,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,-,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,1
05/27/2016 12:00:00 AM,PAMPLONA,VEREDA EL NARANJO,RURAL,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,26,FEMENINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,1
05/28/2016 12:00:00 AM,CÚCUTA (CT),BARRIO RUDESINDO SOTO,URBANA,DENTRO DE LA VIVIENDA,CONTUNDENTES,A PIE,A PIE,47,FEMENINO,SEPARADO,COLOMBIA,INDEPENDIENTE,1
05/28/2016 12:00:00 AM,OCAÑA,BARRIO EL CARMEN,URBANA,CASAS DE HABITACION,CONTUNDENTES,A PIE,A PIE,72,FEMENINO,SOLTERO,COLOMBIA,AMA DE CASA,1
05/28/2016 12:00:00 AM,TIBÚ,BARRIO 11 DE FEBRERO,URBANA,CASAS DE HABITACION,CONTUNDENTES,A PIE,A PIE,20,FEMENINO,UNION LIBRE,COLOMBIA,AMA DE CASA,1
05/29/2016 12:00:00 AM,CÚCUTA (CT),BARRIO CAMILO DAZA,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,-,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,1
05/29/2016 12:00:00 AM,CÚCUTA (CT),BARRIO CAMILO DAZA,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,29,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,1
05/29/2016 12:00:00 AM,CÚCUTA (CT),BARRIO SAN LUIS,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,CONDUCTOR MOTOCICLETA,PASAJERO MOTOCICLETA,22,FEMENINO,UNION LIBRE,COLOMBIA,AMA DE CASA,1
05/29/2016 12:00:00 AM,CÚCUTA (CT),BARRIO CAMILO DAZA,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,34,FEMENINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,1
05/29/2016 12:00:00 AM,CÚCUTA (CT),SEIS DE M,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,36,MASCULINO,SOLTERO,COLOMBIA,COMERCIANTE,1
05/29/2016 12:00:00 AM,CÚCUTA (CT),BARRIO BELLAVISTA,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,30,FEMENINO,UNION LIBRE,COLOMBIA,AMA DE CASA,1
05/29/2016 12:00:00 AM,LOS PATIOS,BARRIO LA CORDIALIDAD,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,34,FEMENINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,1
05/29/2016 12:00:00 AM,OCAÑA,BARRIO BRUSELAS,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,29,FEMENINO,UNION LIBRE,COLOMBIA,AMA DE CASA,1
05/29/2016 12:00:00 AM,OCAÑA,BARRIO EL MOLINO,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,41,FEMENINO,CASADO,COLOMBIA,EDUCADOR,1
05/30/2016 12:00:00 AM,CÚCUTA (CT),BARRIO BELLAVISTA,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,30,FEMENINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,1
05/30/2016 12:00:00 AM,CÚCUTA (CT),BARRIO 13 DE MAYO,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,35,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,1
05/30/2016 12:00:00 AM,CÚCUTA (CT),BARRIO CAMILO DAZA,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,24,FEMENINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,1
05/30/2016 12:00:00 AM,OCAÑA,BARRIO SIMON BOLIVAR,URBANA,CASAS DE HABITACION,CONTUNDENTES,A PIE,A PIE,26,FEMENINO,SOLTERO,COLOMBIA,INDEPENDIENTE,1
05/31/2016 12:00:00 AM,CÚCUTA (CT),BARRIO CAMILO DAZA,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,45,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,1
05/31/2016 12:00:00 AM,CÚCUTA (CT),BARRIO CAMILO DAZA,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,69,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,1
05/31/2016 12:00:00 AM,CÚCUTA (CT),SAN FERNANDO,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,33,FEMENINO,UNION LIBRE,COLOMBIA,AMA DE CASA,1
05/31/2016 12:00:00 AM,PAMPLONA,BARRIO JUAN XXIII,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,26,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,1
05/31/2016 12:00:00 AM,TIBÚ,BARRIO LA PERLA,URBANA,CASAS DE HABITACION,CONTUNDENTES,A PIE,A PIE,15,FEMENINO,UNION LIBRE,COLOMBIA,AMA DE CASA,1
06/01/2016 12:00:00 AM,CÚCUTA (CT),URBANIZACION LAS AMERICAS,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,33,FEMENINO,CASADO,COLOMBIA,INDEPENDIENTE,1
06/01/2016 12:00:00 AM,CÚCUTA (CT),BARRIO CEIBA,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,29,FEMENINO,UNION LIBRE,COLOMBIA,COMERCIANTE,1
06/01/2016 12:00:00 AM,LOS PATIOS,LA FLORESTA,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,35,FEMENINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,1
